part_id,supplier_id
P0001,S001
P0002,S002
P0003,S021
P0004,S004
P0005,S005
P0006,S006
P0007,S007
P0008,S008
P0009,S009
P0010,S010
P0011,S011
P0012,S012
P0013,S013
P0014,S014
P0015,S015
P0016,S016
P0017,S017
P0018,S018
P0019,S019
P0020,S020
P0021,S021
P0022,S022
P0023,S023
P0024,S024
P0025,S025
P0026,S026
P0027,S027
P0028,S028
P0029,S029
P0030,S030
P0031,S031
P0032,S032
P0033,S033
P0034,S034
P0035,S035
P0036,S036
P0037,S037
P0038,S038
P0039,S039
P0040,S040
P0041,S041
P0042,S042
P0043,S043
P0044,S044
P0045,S045
P0046,S046
P0047,S047
P0048,S048
P0049,S049
P0050,S050
P0051,S001
P0052,S002
P0053,S003
P0054,S004
P0055,S005
P0056,S006
P0057,S007
P0058,S008
P0059,S009
P0060,S010
P0061,S011
P0062,S012
P0063,S013
P0064,S014
P0065,S015
P0066,S016
P0067,S017
P0068,S018
P0069,S019
P0070,S020
P0071,S021
P0072,S022
P0073,S023
P0074,S024
P0075,S025
P0076,S026
P0077,S027
P0078,S028
P0079,S029
P0080,S030
P0081,S031
P0082,S032
P0083,S033
P0084,S034
P0085,S035
P0086,S036
P0087,S037
P0088,S038
P0089,S039
P0090,S040
P0091,S041
P0092,S042
P0093,S043
P0094,S044
P0095,S045
P0096,S046
P0097,S047
P0098,S048
P0099,S049
P0100,S050
P0101,S001
P0102,S002
P0103,S003
P0104,S004
P0105,S005
P0106,S006
P0107,S007
P0108,S008
P0109,S009
P0110,S010
P0111,S011
P0112,S012
P0113,S013
P0114,S014
P0115,S015
P0116,S016
P0117,S017
P0118,S018
P0119,S019
P0120,S020
P0121,S021
P0122,S022
P0123,S023
P0124,S024
P0125,S025
P0126,S026
P0127,S027
P0128,S028
P0129,S029
P0130,S030
P0131,S031
P0132,S032
P0133,S033
P0134,S034
P0135,S035
P0136,S036
P0137,S037
P0138,S038
P0139,S039
P0140,S040
P0141,S041
P0142,S042
P0143,S043
P0144,S044
P0145,S045
P0146,S046
P0147,S047
P0148,S048
P0149,S049
P0150,S050
P0151,S001
P0152,S002
P0153,S003
P0154,S004
P0155,S005
P0156,S006
P0157,S007
P0158,S008
P0159,S009
P0160,S010
P0161,S011
P0162,S012
P0163,S013
P0164,S014
P0165,S015
P0166,S016
P0167,S017
P0168,S018
P0169,S019
P0170,S020
P0171,S021
P0172,S022
P0173,S023
P0174,S024
P0175,S025
P0176,S026
P0177,S027
P0178,S028
P0179,S029
P0180,S030
P0181,S031
P0182,S032
P0183,S033
P0184,S034
P0185,S035
P0186,S036
P0187,S037
P0188,S038
P0189,S039
P0190,S040
P0191,S041
P0192,S042
P0193,S043
P0194,S044
P0195,S045
P0196,S028
P0197,S049
P0198,S031
P0199,S002
P0200,S018
