part_id,part_name,product_line
P0001,Carbon Fiber Frame Assembly,E-Bike Pro Series
P0002,Lithium-Ion Battery Module,E-Bike Pro Series
P0003,Brushless DC Motor Hub,Urban Commuter E-Bike
P0004,Hydraulic Disc Brake Caliper,Mountain E-Bike X1
P0005,Integrated LED Headlight,Urban Commuter E-Bike
P0006,Torque Sensor Bottom Bracket,E-Bike Pro Series
P0007,Aluminum Alloy Handlebar,Mountain E-Bike X1
P0008,LCD Control Display Unit,E-Bike Pro Series
P0009,Suspension Fork Assembly,Mountain E-Bike X1
P0010,Heavy-Duty Cargo Rack,Cargo E-Bike Hauler
P0011,7-Speed Derailleur,Urban Commuter E-Bike
P0012,Puncture-Resistant Tire,Urban Commuter E-Bike
P0013,Ergonomic Saddle,Mountain E-Bike X1
P0014,Pedal Assist Sensor,E-Bike Pro Series
P0015,Regenerative Braking Controller,E-Bike Pro Series
P0016,GPS Tracking Module,Cargo E-Bike Hauler
P0017,Bluetooth Connectivity Chip,E-Bike Pro Series
P0018,Quick-Release Front Wheel,Mountain E-Bike X1
P0019,Reinforced Chain Guard,Urban Commuter E-Bike
P0020,Foldable Pedal Set,Urban Commuter E-Bike
P0021,Frame Integrated Battery Casing,E-Bike Pro Series
P0022,High-Lumen Taillight,Cargo E-Bike Hauler
P0023,Carbon Fiber Seatpost,E-Bike Pro Series
P0024,Air Shock Rear Suspension,Mountain E-Bike X1
P0025,Thumb Throttle Assembly,Cargo E-Bike Hauler
P0026,Wiring Harness with Waterproof Connectors,E-Bike Pro Series
P0027,Aluminum Crankset,Mountain E-Bike X1
P0028,Locking Grips,Mountain E-Bike X1
P0029,Fender Set (Front & Rear),Urban Commuter E-Bike
P0030,Kickstand,Urban Commuter E-Bike
P0031,Central Motor Mount,E-Bike Pro Series
P0032,Battery Management System (BMS) Board,E-Bike Pro Series
P0033,Spoke Set (36-count),Mountain E-Bike X1
P0034,Rim Tape,Mountain E-Bike X1
P0035,Controller Housing,Urban Commuter E-Bike
P0036,Front Carrier Rack,Cargo E-Bike Hauler
P0037,Mobile App Sync Module,E-Bike Pro Series
P0038,Security Alarm System,Cargo E-Bike Hauler
P0039,Chainring (44T),Urban Commuter E-Bike
P0040,Cassette (11-32T),Mountain E-Bike X1
P0041,Rotor Blade (Carbon Fiber),Industrial Drone A7
P0042,Flight Control Unit (FCU),Industrial Drone A7
P0043,High-Torque Brushless Motor,Industrial Drone A7
P0044,Electronic Speed Controller (ESC),Industrial Drone A7
P0045,LiPo Battery Pack (6S),Industrial Drone A7
P0046,GPS/GLONASS Receiver,Industrial Drone A7
P0047,4K Gimbal Camera,Industrial Drone A7
