part_id,doc_id,status,standard
P0001,D0001,PASS,ISO 9001
P0001,D0002,PASS,ISO 14001
P0002,D0003,PASS,CE Mark
P0002,D0004,PASS,RoHS
P0003,D0005,PASS,ISO 9001
P0004,D0006,PASS,ISO 9001
P0005,D0007,FAIL,RoHS
P0005,D0008,PASS,CE Mark
P0006,D0009,PASS,ISO 9001
P0007,D0010,PASS,REACH
P0008,D0011,PASS,CE Mark
P0009,D0012,PASS,ISO 9001
P0010,D0013,PASS,ISO 14001
P0011,D0014,PASS,ISO 9001
P0012,D0015,PASS,REACH
P0013,D0016,FAIL,ISO 9001
P0014,D0017,PASS,CE Mark
P0015,D0018,PASS,RoHS
P0016,D0019,PASS,CE Mark
P0017,D0020,PASS,RoHS
P0018,D0021,PASS,ISO 9001
P0019,D0022,PASS,ISO 14001
P0020,D0023,PASS,ISO 9001
P0021,D0024,PASS,ISO 9001
P0021,D0025,PASS,REACH
P0022,D0026,PASS,CE Mark
P0023,D0027,PASS,REACH
P0024,D0028,FAIL,ISO 9001
P0025,D0029,PASS,CE Mark
P0026,D0030,PASS,RoHS
P0027,D0031,PASS,REACH
P0028,D0032,PASS,ISO 9001
P0029,D0033,PASS,ISO 14001
P0030,D0034,PASS,ISO 9001
P0031,D0035,PASS,ISO 9001
P0032,D0036,PASS,RoHS
P0032,D0037,PASS,CE Mark
P0033,D0038,PASS,ISO 9001
P0034,D0039,PASS,REACH
P0035,D0040,PASS,CE Mark
P0036,D0041,FAIL,ISO 14001
P0037,D0042,PASS,RoHS
P0038,D0043,PASS,CE Mark
P0039,D0044,PASS,ISO 9001
P0040,D0045,PASS,REACH
P0041,D0046,PASS,ISO 9001
P0041,D0047,PASS,CE Mark
P0042,D0048,PASS,RoHS
P0043,D0049,PASS,ISO 9001
P0044,D0050,PASS,RoHS
P0045,D0051,PASS,CE Mark
P0045,D0052,FAIL,REACH
P0046,D0053,PASS,CE Mark
P0047,D0054,PASS,ISO 9001
P0048,D0055,PASS,RoHS
P0049,D0056,PASS,CE Mark
P0050,D0057,PASS,ISO 14001
P0051,D0058,PASS,ISO 9001
P0052,D0059,PASS,CE Mark
P0053,D0060,PASS,RoHS
P0054,D0061,PASS,ISO 9001
P0055,D0062,FAIL,RoHS
P0056,D0063,PASS,ISO 14001
P0057,D0064,PASS,ISO 9001
P0058,D0065,PASS,CE Mark
P0059,D0066,PASS,RoHS
P0060,D0067,PASS,CE Mark
P0060,D0068,PASS,ISO 14001
P0061,D0069,PASS,REACH
P0062,D0070,PASS,ISO 9001
P0063,D0071,PASS,REACH
P0064,D0072,PASS,CE Mark
P0065,D0073,PASS,RoHS
P0066,D0074,FAIL,CE Mark
P0067,D0075,PASS,RoHS
P0068,D0076,PASS,ISO 9001
P0069,D0077,PASS,REACH
P0070,D0078,PASS,RoHS
P0071,D0079,PASS,ISO 9001
P0072,D0080,PASS,RoHS
P0073,D0081,PASS,REACH
P0074,D0082,FAIL,ISO 9001
P0074,D0083,PASS,CE Mark
P0075,D0084,PASS,ISO 9001
P0076,D0085,PASS,CE Mark
P0077,D0086,PASS,ISO 9001
P0078,D0087,PASS,ISO 14001
P0079,D0088,PASS,RoHS
P0080,D0089,PASS,CE Mark
P0081,D0090,PASS,RoHS
P0082,D0091,FAIL,RoHS
P0083,D0092,PASS,REACH
P0084,D0093,PASS,RoHS
P0085,D0094,PASS,ISO 9001
P0085,D0095,PASS,CE Mark
P0086,D0096,PASS,CE Mark
P0087,D0097,PASS,RoHS
P0088,D0098,PASS,ISO 9001
P0089,D0099,PASS,REACH
P0090,D0100,PASS,CE Mark
P0091,D0101,PASS,ISO 9001
P0092,D0102,FAIL,CE Mark
P0093,D0103,PASS,RoHS
P0094,D0104,PASS,CE Mark
P0095,D0105,PASS,REACH
P0096,D0106,PASS,CE Mark
P0097,D0107,PASS,ISO 9001
P0098,D0108,PASS,REACH
P0099,D0109,PASS,ISO 14001
P0100,D0110,PASS,ISO 9001
P0101,D0111,PASS,ISO 9001
P0101,D0112,PASS,REACH
P0102,D0113,FAIL,ISO 9001
P0103,D0114,PASS,REACH
P0104,D0115,PASS,REACH
P0105,D0116,PASS,ISO 9001
P0106,D0117,PASS,REACH
P0107,D0118,PASS,ISO 9001
P0108,D0119,PASS,ISO 9001
P0109,D0120,PASS,REACH
P0110,D0121,PASS,ISO 14001
P0111,D0122,FAIL,REACH
P0111,D0123,PASS,ISO 9001
P0112,D0124,PASS,ISO 9001
P0113,D0125,PASS,REACH
P0114,D0126,PASS,ISO 9001
P0115,D0127,PASS,CE Mark
P0116,D0128,PASS,CE Mark
P0117,D0129,PASS,RoHS
P0118,D0130,PASS,ISO 9001
P0119,D0131,FAIL,ISO 9001
P0120,D0132,PASS,ISO 9001
P0121,D0133,PASS,CE Mark
P0122,D0134,PASS,ISO 14001
P0123,D0135,PASS,ISO 9001
P0124,D0136,PASS,CE Mark
P0125,D0137,PASS,CE Mark
P0126,D0138,PASS,RoHS
P0127,D0139,PASS,REACH
P0128,D0140,FAIL,CE Mark
P0129,D0141,PASS,ISO 9001
P0130,D0142,PASS,ISO 14001
P0131,D0143,PASS,RoHS
P0131,D0144,PASS,CE Mark
P0132,D0145,PASS,RoHS
P0133,D0146,PASS,ISO 9001
P0134,D0147,PASS,ISO 9001
P0135,D0148,PASS,CE Mark
P0136,D0149,PASS,ISO 9001
P0137,D0150,FAIL,CE Mark
P0138,D0151,PASS,RoHS
P0139,D0152,PASS,REACH
P0140,D0153,PASS,CE Mark
P0141,D0154,PASS,RoHS
P0142,D0155,PASS,CE Mark
P0143,D0156,PASS,CE Mark
P0144,D0157,PASS,RoHS
P0145,D0158,PASS,REACH
P0146,D0159,FAIL,RoHS
P0146,D0160,PASS,CE Mark
P0147,D0161,PASS,RoHS
P0148,D0162,PASS,CE Mark
P0149,D0163,PASS,ISO 9001
P0150,D0164,PASS,REACH
P0151,D0165,PASS,RoHS
P0152,D0166,PASS,CE Mark
P0153,D0167,PASS,RoHS
P0154,D0168,FAIL,RoHS
P0155,D0169,PASS,CE Mark
P0156,D0170,PASS,ISO 9001
P0157,D0171,PASS,REACH
P0158,D0172,PASS,ISO 9001
P0159,D0173,PASS,REACH
P0160,D0174,PASS,CE Mark
P0161,D0175,PASS,RoHS
P0162,D0176,FAIL,CE Mark
P0163,D0177,PASS,ISO 9001
P0164,D0178,PASS,REACH
P0165,D0179,PASS,RoHS
P0166,D0180,PASS,CE Mark
P0167,D0181,PASS,RoHS
P0168,D0182,PASS,REACH
P0169,D0183,PASS,CE Mark
P0170,D0184,FAIL,CE Mark
P0171,D0185,PASS,REACH
P0172,D0186,PASS,RoHS
P0173,D0187,PASS,CE Mark
P0174,D0188,PASS,REACH
P0174,D0189,PASS,RoHS
P0175,D0190,PASS,CE Mark
P0176,D0191,PASS,RoHS
P0177,D0192,PASS,CE Mark
P0178,D0193,PASS,CE Mark
P0179,D0194,FAIL,RoHS
P0180,D0195,PASS,CE Mark
P0181,D0196,PASS,CE Mark
P0182,D0197,PASS,RoHS
P0183,D0198,PASS,RoHS
P0184,D0199,PASS,CE Mark
P0185,D0200,PASS,RoHS
P0186,D0201,PASS,RoHS
P0187,D0202,FAIL,RoHS
P0188,D0203,PASS,CE Mark
P0189,D0204,PASS,REACH
P0190,D0205,PASS,REACH
P0191,D0206,PASS,RoHS
P0192,D0207,PASS,CE Mark
P0193,D0208,PASS,RoHS
P0194,D0209,PASS,CE Mark
P0195,D0210,PASS,CE Mark
P0196,D0211,FAIL,ISO 14001
P0196,D0212,PASS,ISO 9001
P0197,D0213,PASS,RoHS
P0198,D0214,PASS,ISO 9001
P0199,D0215,PASS,CE Mark
P0200,D0216,PASS,ISO 9001
P0018,D0217,FAIL,CE Mark
P0036,D0218,PASS,ISO 14001
P0054,D0219,PASS,RoHS
P0072,D0220,PASS,RoHS
P0090,D0221,PASS,CE Mark
P0108,D0222,PASS,ISO 9001
P0126,D0223,PASS,RoHS
P0144,D0224,PASS,RoHS
P0162,D0225,PASS,CE Mark
P0180,D0226,PASS,CE Mark
P0198,D0227,PASS,CE Mark
P0002,D0228,FAIL,ISO 9001
P0020,D0229,PASS,ISO 14001
P0038,D0230,PASS,CE Mark
P0056,D0231,PASS,ISO 14001
P0074,D0232,PASS,CE Mark
P0092,D0233,PASS,CE Mark
P0110,D0234,PASS,ISO 14001
P0128,D0235,PASS,CE Mark
P0146,D0236,PASS,CE Mark
P0164,D0237,PASS,REACH
P0182,D0238,FAIL,RoHS
P0004,D0239,PASS,REACH
P0022,D0240,PASS,CE Mark
P0040,D0241,PASS,REACH
P0058,D0242,PASS,CE Mark
P0076,D0243,PASS,CE Mark
P0094,D0244,PASS,CE Mark
P0112,D0245,PASS,ISO 9001
P0130,D0246,PASS,ISO 14001
P0148,D0247,PASS,CE Mark
P0166,D0248,FAIL,CE Mark
P0184,D0249,PASS,CE Mark
P0006,D0250,PASS,RoHS
P0024,D0251,PASS,ISO 9001
P0042,D0252,PASS,RoHS
P0060,D0253,PASS,ISO 14001
P0078,D0254,PASS,ISO 14001
P0096,D0255,PASS,CE Mark
P0114,D0256,PASS,ISO 9001
P0132,D0257,PASS,RoHS
P0150,D0258,FAIL,REACH
P0168,D0259,PASS,REACH
P0186,D0260,PASS,RoHS
P0008,D0261,PASS,RoHS
P0026,D0262,PASS,RoHS
P0044,D0263,PASS,RoHS
P0062,D0264,PASS,ISO 9001
P0080,D0265,PASS,CE Mark
P0098,D0266,PASS,REACH
P0116,D0267,PASS,CE Mark
P0134,D0268,FAIL,ISO 9001
P0152,D0269,PASS,CE Mark
P0170,D0270,PASS,CE Mark
P0188,D0271,PASS,CE Mark
P0010,D0272,PASS,CE Mark
P0028,D0273,PASS,REACH
P0046,D0274,PASS,CE Mark
P0064,D0275,PASS,CE Mark
P0082,D0276,PASS,RoHS
P0100,D0277,PASS,ISO 14001
P0118,D0278,FAIL,ISO 9001
P0136,D0279,PASS,ISO 9001
P0154,D0280,PASS,RoHS
P0172,D0281,PASS,RoHS
P0190,D0282,PASS,REACH
P0198,D0283,PASS,ISO 9001
P0199,D0284,PASS,RoHS
P0200,D0285,FAIL,RoHS
